step,epoch,total_loss,L_long,L_pos,L_longer,L_hinge,logit_scale
0,0,0.895223,0.000000,0.852336,0.007365,0.035522,100.0000
50,0,0.291314,0.000000,0.262059,0.000462,0.028793,100.0000
100,0,0.478226,0.000000,0.451316,0.000008,0.026901,100.0000
150,0,1.204510,0.001678,0.839909,0.340447,0.022476,99.9669
200,0,0.297289,0.000332,0.258723,0.010005,0.028229,99.9164
250,0,0.112411,0.000000,0.096114,0.000305,0.015991,99.8789
300,0,0.414004,0.000000,0.388233,0.000106,0.025665,99.8466
350,0,0.327080,0.000000,0.309499,0.000903,0.016678,99.8195
400,0,0.254669,0.000000,0.223401,0.002367,0.028900,99.8012
450,0,0.253368,0.000000,0.234500,0.000007,0.018860,99.7805
500,0,0.212908,0.000005,0.190620,0.000479,0.021805,99.7612
550,0,0.345664,0.000000,0.325261,0.001360,0.019043,99.7438
600,0,0.390948,0.000000,0.324929,0.042871,0.023148,99.7191
650,0,0.324123,0.000000,0.301227,0.001396,0.021500,99.6951
700,0,0.210615,0.000000,0.182604,0.007029,0.020981,99.6782
750,0,0.133533,0.000000,0.114863,0.002251,0.016418,99.6543
800,0,0.054537,0.000000,0.036775,0.000871,0.016891,99.6404
850,0,0.216893,0.000000,0.143279,0.057165,0.016449,99.6255
900,0,0.307790,0.000001,0.283212,0.000757,0.023819,99.6106
950,0,0.151061,0.000002,0.127841,0.001153,0.022064,99.5920
1000,0,0.327492,0.000000,0.304405,0.002229,0.020859,99.5654
1050,0,0.134187,0.000000,0.111722,0.007839,0.014626,99.5433
1100,0,0.143924,0.000000,0.122289,0.000028,0.021606,99.5275
1150,0,0.396705,0.000000,0.353694,0.019558,0.023453,99.5099
1200,0,0.120418,0.000000,0.104833,0.000326,0.015259,99.4704
1205,1,0.168504,0.000000,0.151959,0.000249,0.016296,99.4692
1255,1,0.117945,0.000000,0.088145,0.016045,0.013756,99.4637
1305,1,0.352681,0.000043,0.321322,0.013540,0.017776,99.4555
1355,1,0.051972,0.000000,0.031842,0.000309,0.019821,99.4504
1405,1,0.036380,0.000000,0.023340,0.000162,0.012878,99.4452
1455,1,0.152161,0.000000,0.081402,0.050938,0.019821,99.4411
1505,1,0.370025,0.000481,0.322860,0.028007,0.018677,99.4328
1555,1,0.116486,0.000072,0.087917,0.008584,0.019913,99.4267
1605,1,0.204653,0.000000,0.180399,0.000099,0.024155,99.4185
1655,1,0.083658,0.000000,0.058189,0.000903,0.024567,99.4113
1705,1,0.132798,0.000019,0.092099,0.014541,0.026138,99.4046
1755,1,0.365533,0.000020,0.321976,0.028531,0.015007,99.3866
1805,1,0.100267,0.000000,0.081359,0.000171,0.018738,99.3671
1855,1,0.335410,0.019297,0.276640,0.021483,0.017990,99.3539
1905,1,0.098699,0.000000,0.079455,0.000048,0.019196,99.3481
1955,1,0.114603,0.000000,0.094902,0.000490,0.019211,99.3420
2005,1,0.057049,0.000000,0.037016,0.001112,0.018921,99.3332
2055,1,0.057266,0.000002,0.041852,0.000129,0.015282,99.3221
2105,1,0.039885,0.000000,0.022668,0.000020,0.017197,99.3029
2155,1,0.028877,0.000003,0.014230,0.000071,0.014572,99.2730
2205,1,0.078907,0.000000,0.057937,0.000005,0.020966,99.2599
2255,1,0.329358,0.000036,0.216335,0.088238,0.024750,99.2460
2305,1,0.039552,0.000000,0.017136,0.000000,0.022415,99.2295
2355,1,0.207330,0.000006,0.181576,0.001731,0.024017,99.2139
2405,1,0.138432,0.002992,0.093090,0.024237,0.018112,99.2005
